ObservationTime,WindGustSpeed (Kilometres per hour)
2020-01-15 16:00:00+00:00,31.8
2020-01-15 17:00:00+00:00,19.92
2020-01-15 18:00:00+00:00,27.84
2020-01-15 19:00:00+00:00,31.5
2020-01-15 20:00:00+00:00,32.28
2020-01-15 21:00:00+00:00,29.7
2020-01-15 22:00:00+00:00,30.06
2020-01-15 23:00:00+00:00,28.32
2020-01-16 00:00:00+00:00,24.12
2020-01-16 01:00:00+00:00,24.42
2020-01-16 02:00:00+00:00,23.76
2020-01-16 03:00:00+00:00,30.84
2020-01-16 04:00:00+00:00,26.16
2020-01-16 05:00:00+00:00,25.8
2020-01-16 06:00:00+00:00,31.62
2020-01-16 07:00:00+00:00,31.2
2020-01-16 08:00:00+00:00,33.78
2020-01-16 09:00:00+00:00,40.74
2020-01-16 10:00:00+00:00,47.1
2020-01-16 11:00:00+00:00,46.68
2020-01-16 12:00:00+00:00,48.24
2020-01-16 13:00:00+00:00,54.9
2020-01-16 14:00:00+00:00,50.7
2020-01-16 15:00:00+00:00,49.62
2020-01-16 16:00:00+00:00,45.24
2020-01-16 17:00:00+00:00,53.1
2020-01-16 18:00:00+00:00,52.68
2020-01-16 19:00:00+00:00,53.64
2020-01-16 20:00:00+00:00,53.1
2020-01-16 21:00:00+00:00,52.02
2020-01-16 22:00:00+00:00,43.98
2020-01-16 23:00:00+00:00,38.76
2020-01-17 00:00:00+00:00,37.32
2020-01-17 01:00:00+00:00,33.9
2020-01-17 02:00:00+00:00,29.1
2020-01-17 03:00:00+00:00,30.42
2020-01-17 04:00:00+00:00,30.06
2020-01-17 05:00:00+00:00,31.2
2020-01-17 06:00:00+00:00,32.4
2020-01-17 07:00:00+00:00,34.92
2020-01-17 08:00:00+00:00,27.9
2020-01-17 09:00:00+00:00,30.12
2020-01-17 10:00:00+00:00,36
2020-01-17 11:00:00+00:00,42.9
2020-01-17 12:00:00+00:00,49.56
2020-01-17 13:00:00+00:00,52.08
2020-01-17 14:00:00+00:00,63.42
2020-01-17 15:00:00+00:00,61.98
2020-01-17 16:00:00+00:00,42.9
2020-01-17 17:00:00+00:00,30.96
2020-01-17 18:00:00+00:00,32.52
2020-01-17 19:00:00+00:00,31.56
2020-01-17 20:00:00+00:00,30.42
2020-01-17 21:00:00+00:00,29.04
2020-01-17 22:00:00+00:00,19.56
2020-01-17 23:00:00+00:00,26.46
2020-01-18 00:00:00+00:00,28.38
2020-01-18 01:00:00+00:00,31.44
2020-01-18 02:00:00+00:00,29.28
2020-01-18 03:00:00+00:00,30.12
2020-01-18 04:00:00+00:00,24.72
2020-01-18 05:00:00+00:00,27.42
2020-01-18 06:00:00+00:00,26.52
2020-01-18 07:00:00+00:00,33.36
2020-01-18 08:00:00+00:00,33.54
2020-01-18 09:00:00+00:00,26.64
2020-01-18 10:00:00+00:00,29.94
2020-01-18 11:00:00+00:00,34.8
2020-01-18 12:00:00+00:00,38.34
2020-01-18 13:00:00+00:00,37.62
